"PROD_ID","BRAND","DESCRIPTION","PRICE"
99369,"Insignia¿ ","Insignia¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99370,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99371,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - HDTV",
99372,"Westinghouse ","Westinghouse - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99373,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 120Hz - HDTV",
99374,"Dynex¿ ","Dynex¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99375,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99376,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - 3D -HDTV",
99377,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99378,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99379,"Toshiba ","Toshiba - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99380,"Philips ","Philips - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99381,"Dynex¿ ","Dynex¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99382,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99383,"Sony ","Sony - BRAVIA - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99384,"Toshiba ","Toshiba - 40"" Class - LED - 1080p - 60Hz - HDTV",
99385,"Toshiba ","Toshiba - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99386,"Synnex ","Synnex - SyncMaster 400CXN-2 40"" 1080p LCD TV - 16:9 - HDTV 1080p - Glossy Black",
99387,"Samsung ","Samsung - 40"" Class / LED / 1080p / 120Hz / 3D / HDTV",
99388,"Coby ","Coby - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99389,"Westinghouse ","Westinghouse - 40"" Class - LED - 1080p - 120Hz - HDTV",
99390,"Sony ","Sony - BRAVIA KDL-40EX400/H 40"" 1080p LCD TV - HDTV 1080p",
99391,"Orion America","Orion America-Televisions - HDLCD4050 40"" 1080p LCD TV - 16:9 - HDTV 1080p - Black",
99392,"Coby ","Coby - TFTV4028 40"" LCD TV - 16:9 - HDTV 1080p - 1080p",
99393,"Haier ","Haier - LE40C13800 40"" 1080p LED-LCD TV - 16:9 - Glossy Black",
99394,"Phillips ","Phillips - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99395,"Panasonic ","Panasonic - 42"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1099.99
99396,"Insignia¿ ","Insignia¿ - 42"" Class / LED / 1080p / 120Hz / HDTV",499.99
99397,"Insignia¿ ","Insignia¿ - 42"" Class / 1080p / 120Hz / LCD HDTV",549.99
99398,"LG ","LG - 42"" Class - Plasma - 720p - 600Hz - HDTV",549.99
99399,"Westinghouse ","Westinghouse - 42"" Class - LED - 1080p - 120Hz - HDTV",599.99
99400,"Panasonic ","Panasonic - 42"" Class - Plasma - 720p - 600Hz - Smart - HDTV",599.99
99401,"LG ","LG - 42"" Class - LCD - 1080p - 120Hz - HDTV",649.99
99402,"Insignia¿ ","Insignia¿ - Connected TV - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",699.99
99403,"LG ","LG - 42"" Class - LCD - 1080p - 120Hz - HDTV",799.99
99404,"Panasonic ","Panasonic - VIERA - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",849.99
99405,"Panasonic ","Panasonic - 42"" Class / LED / 1080p / 120Hz / 3D / HDTV",999.99
99406,"Insignia¿ ","Insignia¿ - 42"" Class - Plasma - 720p - 600Hz - HDTV",
99407,"RCA ","RCA - 42"" Class - Plasma - 720p - 600Hz - HDTV",
99408,"LG ","LG - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99409,"Dynex¿ ","Dynex¿ - 42"" Class - LED - 1080p - 60Hz - HDTV",
99410,"LG ","LG - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99411,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99412,"Insignia¿ ","Insignia¿ - 42"" Class - LED - 1080p - 60Hz - HDTV",
99413,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - 3D - HDTV",
99414,"Panasonic ","Panasonic - 42"" Class - LED - 1080p - 60Hz - Smart - HDTV",
99415,"Sharp ","Sharp - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99416,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99417,"LG ","LG - 42LD6DDH 42"" 1080p LCD TV - 16:9 - HDTV 1080p - Matte Black",
